date,China,Italy,Spain,Germany,Netherlands,United States of America
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,1,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,1,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0
2020-01-19,1,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,3,0,0,0,0,0
2020-01-22,11,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,9,0,0,0,0,0
2020-01-25,15,0,0,0,0,0
2020-01-26,15,0,0,0,0,0
2020-01-27,25,0,0,0,0,0
2020-01-28,25,0,0,0,0,0
2020-01-29,26,0,0,0,0,0
2020-01-30,38,0,0,0,0,0
2020-01-31,43,0,0,0,0,0
2020-02-01,46,0,0,0,0,0
2020-02-02,45,0,0,0,0,0
2020-02-03,57,0,0,0,0,0
2020-02-04,65,0,0,0,0,0
2020-02-05,66,0,0,0,0,0
2020-02-06,72,0,0,0,0,0
2020-02-07,73,0,0,0,0,0
2020-02-08,86,0,0,0,0,0
2020-02-09,89,0,0,0,0,0
2020-02-10,97,0,0,0,0,0
2020-02-11,108,0,0,0,0,0
2020-02-12,97,0,0,0,0,0
2020-02-13,254,0,0,0,0,0
2020-02-14,13,0,0,0,0,0
2020-02-15,143,0,0,0,0,0
2020-02-16,142,0,0,0,0,0
2020-02-17,105,0,0,0,0,0
2020-02-18,98,0,0,0,0,0
2020-02-19,139,0,0,0,0,0
2020-02-20,112,0,0,0,0,0
2020-02-21,118,0,0,0,0,0
2020-02-22,109,0,0,0,0,0
2020-02-23,98,2,0,0,0,0
2020-02-24,150,0,0,0,0,0
2020-02-25,70,4,0,0,0,0
2020-02-26,52,5,0,0,0,0
2020-02-27,29,1,0,0,0,0
2020-02-28,44,5,0,0,0,0
2020-02-29,47,4,0,0,0,0
2020-03-01,35,8,0,0,0,1
2020-03-02,42,6,0,0,0,1
2020-03-03,32,17,0,0,0,4
2020-03-04,37,28,0,0,0,3
2020-03-05,31,27,1,0,0,2
2020-03-06,30,41,2,0,0,1
2020-03-07,28,49,2,0,1,2
2020-03-08,27,36,0,0,0,3
2020-03-09,23,133,0,0,2,4
2020-03-10,17,98,23,2,0,5
2020-03-11,22,167,7,0,1,2
2020-03-12,11,196,12,1,1,2
2020-03-13,7,189,37,2,0,10
2020-03-14,15,252,37,0,0,7
2020-03-15,9,173,15,3,7,10
2020-03-16,14,370,152,4,8,12
2020-03-17,9,347,21,1,4,16
2020-03-18,16,347,182,0,19,23
2020-03-19,8,473,107,0,15,42
2020-03-20,4,429,169,30,18,0
2020-03-21,7,625,235,2,30,110
2020-03-22,6,795,324,22,30,80
2020-03-23,9,649,394,27,43,131
2020-03-24,7,601,462,32,34,119
2020-03-25,4,743,514,23,63,211
2020-03-26,6,685,738,49,80,249
2020-03-27,5,660,655,55,78,246
2020-03-28,3,971,769,72,112,411
2020-03-29,5,887,832,64,93,484
2020-03-30,5,758,838,66,132,318
2020-03-31,3,810,812,128,93,661
2020-04-01,1,839,849,149,175,909
2020-04-02,6,727,864,140,134,1059
2020-04-03,10,760,950,145,166,915
2020-04-04,4,764,932,141,148,1104
2020-04-05,3,681,809,184,164,1344
2020-04-06,2,527,674,92,115,1146
2020-04-07,0,636,637,173,101,1342
2020-04-08,2,604,743,254,234,1906
2020-04-09,2,540,757,246,147,1922
2020-04-10,1,612,683,266,148,1873
2020-04-11,3,570,605,171,115,2087
2020-04-12,0,619,510,129,132,1831
2020-04-13,2,431,619,126,94,1500
2020-04-14,0,564,517,170,86,1541
2020-04-15,1,604,567,285,122,2408
2020-04-16,0,578,523,315,189,4928
